Applicant_Income,Loan_Amount,Credit_Score,Previous_Defaults,Interest_Rate,Loan_Purpose,Number_of_Dependents,Residence_Status,Home_Ownership,Employment_Type,Default
43625,49717,330,3,13.61,Education,1,Rented,Mortgage,Salaried,1
102873,15626,403,3,8.56,Business,2,Owned,Own,Retired,0
120843,39761,485,4,13.74,Business,3,Owned,Own,Salaried,1
92592,5869,427,3,13.58,Business,4,Mortgaged,Mortgage,Unemployed,1
97052,36552,509,1,3.5,Medical,0,Mortgaged,Mortgage,Salaried,0
64261,6014,713,4,14.32,Home Improvement,4,Owned,Own,Salaried,1
21542,15103,580,2,3.46,Home Improvement,2,Owned,Rent,Salaried,1
41677,21986,552,0,14.54,Medical,2,Rented,Mortgage,Retired,1
66732,49781,318,4,8.16,Business,2,Owned,Own,Self-Employed,0
70343,35471,435,3,12.01,Business,1,Owned,Rent,Self-Employed,0
59081,38458,522,4,11.33,Education,4,Rented,Own,Retired,0
82856,30069,302,0,8.98,Business,2,Owned,Own,Self-Employed,0
113105,21873,535,0,10.24,Personal,3,Owned,Mortgage,Unemployed,1
108858,28248,764,3,14.37,Business,2,Mortgaged,Rent,Retired,0
39065,28624,527,3,14.09,Education,4,Owned,Own,Retired,0
144097,48516,798,1,10.68,Personal,2,Owned,Rent,Self-Employed,0
103460,34061,820,0,10.72,Education,2,Rented,Rent,Retired,0
108092,29170,438,3,5.59,Education,0,Mortgaged,Mortgage,Salaried,1
146116,13024,575,0,12.86,Home Improvement,2,Mortgaged,Own,Retired,0
74693,21678,590,1,10.41,Medical,4,Owned,Own,Retired,1
46962,43256,352,2,12.83,Education,0,Mortgaged,Mortgage,Retired,0
48295,25411,409,0,10.72,Business,0,Mortgaged,Mortgage,Unemployed,0
33807,48803,303,1,6.24,Home Improvement,2,Mortgaged,Own,Unemployed,0
62348,24296,346,1,4.87,Personal,2,Rented,Mortgage,Salaried,0
46432,31293,393,1,3.46,Medical,3,Rented,Own,Salaried,0
103285,32172,512,4,9.82,Home Improvement,4,Mortgaged,Rent,Self-Employed,0
126995,26128,735,3,6.05,Education,4,Mortgaged,Rent,Salaried,0
111792,23257,807,0,10.38,Home Improvement,1,Owned,Mortgage,Retired,0
77854,17855,504,4,3.23,Business,1,Mortgaged,Rent,Self-Employed,0
60262,24642,680,0,7.2,Business,4,Rented,Own,Unemployed,1
57080,40585,372,4,5.76,Business,2,Owned,Rent,Self-Employed,1
21324,25025,815,3,7.13,Medical,0,Rented,Rent,Unemployed,1
111267,9458,375,1,3.18,Home Improvement,3,Rented,Rent,Retired,0
144707,10307,376,0,11.55,Home Improvement,2,Rented,Own,Retired,0
55909,46701,709,1,3.96,Education,0,Rented,Mortgage,Unemployed,0
109339,23425,405,3,2.68,Personal,4,Rented,Own,Self-Employed,0
39870,48427,775,0,14.33,Business,2,Owned,Mortgage,Unemployed,0
54578,33273,574,2,4.91,Personal,3,Rented,Rent,Salaried,0
92124,43506,387,2,12.85,Personal,1,Mortgaged,Rent,Retired,0
137611,10668,376,2,14.56,Business,0,Owned,Rent,Unemployed,0
123605,30934,376,3,9.18,Business,2,Mortgaged,Own,Self-Employed,0
46790,12697,741,2,9.08,Education,3,Owned,Rent,Unemployed,1
138874,29417,839,0,7.09,Medical,2,Mortgaged,Own,Self-Employed,0
45289,21446,544,2,7.82,Business,4,Rented,Own,Retired,0
75129,45597,681,0,8.53,Personal,0,Mortgaged,Mortgage,Self-Employed,0
113714,15751,441,3,4.4,Education,4,Rented,Mortgage,Retired,0
114246,12352,667,1,7.06,Home Improvement,4,Owned,Mortgage,Retired,0
35485,18516,383,4,12.7,Education,1,Rented,Mortgage,Self-Employed,0
64482,28299,442,2,4.78,Business,4,Mortgaged,Own,Unemployed,0
106188,36957,651,4,11.62,Business,3,Rented,Own,Salaried,0
24748,33927,844,1,10.64,Medical,0,Rented,Mortgage,Unemployed,0
106769,46094,451,3,3.22,Education,1,Owned,Mortgage,Self-Employed,1
29435,41412,457,3,2.78,Business,2,Rented,Mortgage,Retired,0
23709,34493,745,1,6.91,Personal,4,Owned,Mortgage,Self-Employed,0
143961,31711,602,4,11.15,Personal,2,Mortgaged,Mortgage,Unemployed,1
50355,13003,749,2,6.63,Education,1,Owned,Mortgage,Self-Employed,0
75771,36707,523,0,10.85,Medical,2,Mortgaged,Mortgage,Retired,0
77799,8278,342,3,10.82,Education,3,Mortgaged,Rent,Self-Employed,0
33116,12296,563,1,12.58,Medical,1,Rented,Mortgage,Retired,1
45470,30398,302,4,3.74,Personal,0,Owned,Mortgage,Retired,0
62344,40842,567,2,9.71,Business,0,Mortgaged,Own,Self-Employed,0
62918,18261,315,4,3.28,Home Improvement,0,Rented,Mortgage,Unemployed,0
72224,16173,633,2,4.7,Business,0,Rented,Mortgage,Unemployed,1
59298,35449,763,0,6.57,Personal,1,Mortgaged,Mortgage,Salaried,0
128492,46080,358,0,11.34,Personal,1,Rented,Own,Salaried,1
100219,6637,476,1,14.67,Business,1,Owned,Own,Unemployed,0
81629,36781,362,1,6.78,Business,4,Mortgaged,Rent,Retired,0
86040,18652,606,2,9.01,Personal,1,Mortgaged,Own,Self-Employed,0
119518,10103,545,2,5.74,Business,1,Rented,Own,Self-Employed,0
119835,30500,588,2,10.94,Home Improvement,1,Mortgaged,Rent,Self-Employed,0
48016,39800,631,2,7.08,Home Improvement,0,Mortgaged,Own,Retired,0
43960,40529,826,0,8.52,Education,3,Mortgaged,Rent,Unemployed,1
53591,23452,554,1,9.6,Home Improvement,0,Owned,Rent,Unemployed,1
102848,36174,809,1,11.08,Personal,3,Owned,Own,Retired,0
123333,40436,762,3,3.25,Personal,3,Owned,Own,Retired,0
131732,20954,498,1,9.44,Education,3,Owned,Rent,Unemployed,1
134821,22186,570,1,7.89,Medical,0,Rented,Rent,Self-Employed,0
87641,17356,363,4,4.17,Education,4,Mortgaged,Rent,Self-Employed,0
56395,37963,529,4,5.1,Medical,2,Owned,Rent,Self-Employed,1
131276,7187,548,3,13.55,Medical,4,Rented,Own,Unemployed,0
149695,16707,545,2,13.4,Business,0,Owned,Mortgage,Self-Employed,0
42700,40098,456,3,2.92,Home Improvement,3,Rented,Rent,Retired,0
54620,31935,387,3,11.12,Medical,2,Owned,Own,Unemployed,1
123214,26225,612,0,9.43,Business,4,Owned,Rent,Unemployed,1
148148,8606,365,1,14.25,Education,1,Mortgaged,Mortgage,Self-Employed,1
40559,37828,319,0,13.85,Education,4,Owned,Own,Salaried,0
113045,31489,332,1,9.74,Medical,0,Owned,Own,Unemployed,1
113396,19387,372,3,4.24,Business,2,Rented,Mortgage,Retired,0
81642,8927,642,1,8.25,Personal,1,Mortgaged,Mortgage,Unemployed,1
96539,11296,432,2,11.56,Home Improvement,2,Mortgaged,Own,Self-Employed,0
41732,35444,354,2,14.4,Medical,2,Rented,Mortgage,Retired,0
148675,7591,360,3,7.05,Personal,4,Owned,Own,Salaried,0
111362,49895,819,4,12.31,Home Improvement,3,Rented,Mortgage,Salaried,1
50354,31147,571,2,11.04,Personal,4,Owned,Rent,Self-Employed,1
33843,43889,545,3,3.48,Business,1,Owned,Rent,Retired,0
130008,6200,475,0,9.47,Medical,0,Mortgaged,Own,Retired,0
134065,20721,616,4,4.79,Personal,4,Owned,Own,Salaried,0
91726,24238,430,2,11.04,Personal,3,Mortgaged,Own,Self-Employed,0
37640,16087,401,3,10.13,Personal,3,Mortgaged,Rent,Self-Employed,0
72528,35816,609,3,14.66,Medical,4,Rented,Rent,Salaried,1
58413,28408,591,0,14.19,Business,1,Owned,Own,Unemployed,1
148142,44740,794,0,2.62,Business,3,Rented,Mortgage,Salaried,0
72638,5136,660,4,3.5,Personal,3,Rented,Own,Retired,1
72736,22413,637,2,12.11,Business,1,Rented,Own,Unemployed,0
127892,23978,309,3,11.07,Home Improvement,1,Rented,Own,Unemployed,1
130133,5661,348,4,12.51,Business,1,Mortgaged,Mortgage,Unemployed,1
126357,40240,786,4,5.84,Personal,1,Mortgaged,Rent,Retired,0
88866,32253,620,0,13.12,Home Improvement,4,Mortgaged,Mortgage,Salaried,0
39087,31884,432,3,8.03,Medical,4,Mortgaged,Rent,Unemployed,0
61430,37854,382,1,5.77,Education,2,Owned,Rent,Self-Employed,0
44504,15704,356,0,2.63,Business,2,Mortgaged,Mortgage,Self-Employed,1
27114,43987,675,3,13.39,Home Improvement,2,Owned,Rent,Unemployed,0
98859,29527,648,4,9.19,Education,3,Rented,Mortgage,Salaried,0
119657,21322,570,4,14.69,Medical,1,Owned,Rent,Retired,0
30975,11968,782,2,11.43,Education,4,Mortgaged,Own,Unemployed,0
31023,32518,410,1,3.51,Medical,4,Mortgaged,Rent,Retired,0
41447,32886,375,0,9.85,Personal,1,Mortgaged,Mortgage,Self-Employed,0
110469,6700,457,2,2.71,Personal,2,Rented,Rent,Self-Employed,1
145899,33246,831,2,9.47,Medical,3,Rented,Own,Unemployed,1
43959,40468,628,1,6.88,Education,4,Mortgaged,Mortgage,Retired,0
86203,28199,421,0,10.54,Business,0,Rented,Own,Salaried,0
139156,49589,340,0,9.27,Education,3,Owned,Own,Self-Employed,0
49703,37115,466,4,5.77,Education,3,Owned,Own,Retired,1
29337,10520,322,0,4.53,Business,2,Owned,Mortgage,Salaried,1
66427,49278,578,2,7.56,Education,1,Owned,Rent,Retired,0
141507,41455,768,4,14.84,Education,0,Mortgaged,Own,Self-Employed,0
81529,25929,699,0,7.95,Home Improvement,2,Mortgaged,Mortgage,Self-Employed,0
122023,46605,308,1,11.86,Medical,1,Owned,Rent,Unemployed,0
104665,19955,312,2,3.21,Personal,0,Owned,Rent,Retired,1
125787,49049,351,3,7.24,Medical,4,Mortgaged,Mortgage,Self-Employed,1
51921,18917,508,1,9.75,Education,0,Rented,Mortgage,Retired,1
53307,9757,849,1,11.89,Business,2,Owned,Rent,Unemployed,0
47355,18045,701,0,9.1,Business,0,Rented,Rent,Self-Employed,0
123268,46680,490,4,8.94,Personal,0,Mortgaged,Own,Self-Employed,1
147016,9733,350,4,12.05,Personal,0,Owned,Rent,Salaried,0
24835,35954,692,2,6.42,Personal,4,Owned,Own,Unemployed,0
40159,36135,599,0,3.63,Business,1,Rented,Own,Retired,0
124346,12081,495,4,6.84,Education,0,Rented,Rent,Retired,0
67605,46458,716,3,4.49,Personal,3,Rented,Mortgage,Salaried,0
141790,28501,719,0,14.57,Personal,2,Rented,Rent,Unemployed,0
125616,26113,821,0,9.72,Business,3,Owned,Own,Retired,0
58088,39441,655,4,8.08,Education,1,Mortgaged,Rent,Retired,1
98752,29690,447,1,13.9,Personal,2,Rented,Rent,Salaried,0
75284,48939,664,0,13.75,Education,1,Rented,Mortgage,Self-Employed,1
77043,34345,663,1,7.7,Home Improvement,2,Mortgaged,Own,Retired,1
145388,49571,701,2,13.43,Personal,3,Owned,Own,Unemployed,0
55547,31829,791,2,3.3,Personal,3,Mortgaged,Own,Retired,0
117007,40062,528,4,13.57,Business,4,Mortgaged,Own,Retired,1
102844,8630,836,2,6.38,Home Improvement,1,Rented,Mortgage,Unemployed,1
47532,36870,567,4,9.56,Home Improvement,3,Mortgaged,Mortgage,Unemployed,0
54349,49942,704,4,5.87,Home Improvement,2,Mortgaged,Own,Self-Employed,1
142402,8453,310,1,14.81,Medical,0,Owned,Rent,Retired,0
138012,42275,619,1,3.4,Business,0,Rented,Own,Self-Employed,0
65445,48370,425,2,8.09,Business,0,Rented,Rent,Unemployed,1
25713,43396,605,1,10.26,Personal,4,Rented,Own,Salaried,0
76178,13328,810,0,10.2,Business,3,Owned,Mortgage,Salaried,0
69407,20534,388,3,11.73,Personal,1,Owned,Mortgage,Self-Employed,0
90340,24744,654,0,11.56,Personal,1,Owned,Own,Retired,0
70990,24389,651,0,12.41,Medical,4,Owned,Rent,Self-Employed,0
95672,41320,313,4,5.43,Business,2,Rented,Rent,Retired,0
149473,40010,556,3,7.13,Business,3,Rented,Rent,Salaried,0
85545,19665,508,4,7.28,Medical,3,Mortgaged,Mortgage,Salaried,0
104791,42865,580,1,14.45,Medical,2,Owned,Rent,Self-Employed,0
78141,13640,742,1,7.62,Business,2,Mortgaged,Rent,Retired,0
43793,39716,688,3,5.27,Business,3,Owned,Rent,Retired,0
76570,30521,782,2,10.4,Personal,3,Mortgaged,Mortgage,Retired,0
115084,35049,446,1,7.84,Education,0,Rented,Own,Retired,0
57892,10618,578,0,5.63,Personal,1,Rented,Mortgage,Salaried,0
21015,42004,820,3,11.44,Home Improvement,0,Owned,Mortgage,Salaried,0
144704,6920,733,3,4.9,Home Improvement,0,Rented,Own,Salaried,0
81813,48937,443,1,10.42,Education,1,Owned,Own,Self-Employed,0
47712,9188,588,1,7.88,Medical,4,Mortgaged,Rent,Salaried,0
120497,17207,685,4,6.49,Home Improvement,4,Owned,Rent,Unemployed,0
28415,5238,313,4,14.32,Medical,4,Mortgaged,Own,Self-Employed,0
131854,37972,556,0,6.56,Medical,4,Mortgaged,Rent,Unemployed,0
132816,15799,645,3,6.84,Personal,2,Owned,Own,Retired,0
148778,10552,644,2,13.38,Medical,0,Rented,Rent,Unemployed,1
82292,33916,699,2,4.11,Education,2,Mortgaged,Mortgage,Retired,0
43833,9927,506,3,3.85,Personal,2,Rented,Rent,Salaried,0
24158,32964,471,0,6.03,Education,1,Mortgaged,Own,Unemployed,0
82680,16164,763,4,9.9,Medical,4,Mortgaged,Own,Self-Employed,1
40309,42158,569,4,7.3,Home Improvement,3,Mortgaged,Mortgage,Retired,0
26970,24071,520,4,10.11,Medical,4,Mortgaged,Rent,Self-Employed,1
92474,11160,451,2,4.5,Education,0,Owned,Own,Self-Employed,0
106704,20810,482,2,5.77,Business,2,Mortgaged,Rent,Self-Employed,1
66540,10126,698,0,9.56,Business,0,Rented,Own,Salaried,0
40384,35009,371,2,5.21,Home Improvement,2,Rented,Rent,Self-Employed,0
38017,38584,717,1,7.79,Education,2,Owned,Mortgage,Unemployed,0
95880,30396,582,2,9.66,Home Improvement,2,Mortgaged,Rent,Salaried,1
125570,5192,373,4,14.67,Personal,3,Owned,Rent,Retired,0
28702,41413,654,0,3.5,Medical,4,Rented,Own,Retired,0
20384,17816,796,3,8.26,Personal,2,Mortgaged,Rent,Self-Employed,0
20404,44082,627,3,7.45,Business,1,Rented,Own,Retired,0
60943,37130,834,0,12.8,Medical,2,Owned,Own,Retired,1
67926,45142,746,1,13.75,Personal,4,Owned,Rent,Unemployed,0
49189,41468,672,3,13.84,Business,4,Rented,Own,Unemployed,0
32763,35698,661,4,7.19,Personal,3,Mortgaged,Mortgage,Self-Employed,0
38384,15655,392,3,6.31,Medical,2,Mortgaged,Rent,Self-Employed,0
80100,35075,620,3,8.11,Personal,1,Rented,Mortgage,Unemployed,1
118142,14359,623,4,6.8,Medical,3,Rented,Rent,Unemployed,0
29860,41661,683,2,11.49,Personal,3,Mortgaged,Own,Self-Employed,0
124293,44579,645,1,5.17,Home Improvement,2,Rented,Mortgage,Unemployed,0
100642,47056,402,4,10.73,Personal,2,Owned,Mortgage,Self-Employed,0
70612,38272,514,4,14.09,Personal,3,Mortgaged,Own,Salaried,0
43574,47581,491,0,6.0,Home Improvement,3,Mortgaged,Rent,Salaried,0
43524,19671,493,1,10.96,Business,3,Owned,Rent,Retired,1
89172,32048,679,2,4.29,Medical,0,Rented,Rent,Retired,1
30916,15738,702,4,4.02,Education,3,Mortgaged,Rent,Self-Employed,0
24809,30963,310,2,3.95,Business,4,Mortgaged,Mortgage,Self-Employed,0
52201,48954,486,4,4.23,Medical,1,Mortgaged,Own,Self-Employed,1
73330,11773,314,4,5.2,Personal,1,Rented,Own,Retired,0
33456,41584,596,0,9.54,Business,2,Mortgaged,Mortgage,Unemployed,0
133748,34894,710,3,12.09,Personal,3,Rented,Own,Unemployed,0
76397,5717,351,1,4.09,Business,1,Owned,Own,Retired,0
141288,16676,327,0,13.38,Business,1,Rented,Own,Salaried,0
58765,9434,316,2,13.03,Education,4,Rented,Mortgage,Self-Employed,0
54816,42825,650,4,11.59,Home Improvement,4,Owned,Mortgage,Self-Employed,0
65106,34100,727,4,7.82,Business,0,Rented,Own,Retired,0
73932,9994,528,1,2.52,Personal,0,Owned,Mortgage,Self-Employed,0
37100,9234,509,0,11.68,Education,1,Mortgaged,Mortgage,Unemployed,0
77091,8764,730,0,13.49,Business,2,Owned,Mortgage,Self-Employed,0
41949,48949,593,2,6.69,Home Improvement,1,Owned,Rent,Unemployed,0
90080,42405,403,0,11.47,Personal,2,Mortgaged,Mortgage,Retired,0
57744,39872,503,0,3.28,Education,1,Mortgaged,Rent,Salaried,0
65543,47215,352,3,11.37,Medical,4,Rented,Own,Self-Employed,0
128319,28185,674,1,3.35,Home Improvement,3,Rented,Own,Retired,0
112193,48442,353,0,9.84,Medical,1,Rented,Own,Self-Employed,0
56187,46153,575,2,9.97,Medical,0,Mortgaged,Mortgage,Unemployed,0
132734,16999,634,4,6.28,Education,2,Mortgaged,Rent,Self-Employed,0
27239,41487,330,0,3.49,Education,2,Mortgaged,Mortgage,Retired,1
144454,7581,434,0,14.37,Education,1,Rented,Own,Retired,0
34489,7763,357,4,9.19,Medical,2,Mortgaged,Rent,Unemployed,0
134937,32374,404,3,9.75,Personal,0,Mortgaged,Mortgage,Self-Employed,0
78017,43759,565,1,10.19,Education,4,Owned,Mortgage,Salaried,1
81877,15531,821,3,13.64,Home Improvement,3,Owned,Own,Retired,1
63125,30307,795,2,3.25,Education,3,Mortgaged,Mortgage,Self-Employed,0
69922,35835,552,0,13.67,Education,2,Rented,Mortgage,Unemployed,1
114074,16064,594,3,5.5,Education,1,Owned,Own,Retired,0
52049,16312,457,1,3.47,Medical,2,Mortgaged,Rent,Self-Employed,0
57131,42548,848,2,10.72,Personal,0,Owned,Mortgage,Unemployed,1
62944,41945,366,3,14.71,Education,1,Owned,Own,Self-Employed,1
135765,11476,598,0,3.22,Medical,4,Rented,Mortgage,Unemployed,0
93963,29565,762,1,7.83,Home Improvement,0,Mortgaged,Rent,Self-Employed,1
126884,7382,400,0,9.12,Personal,4,Mortgaged,Rent,Salaried,0
145917,27463,355,0,5.65,Medical,1,Rented,Own,Self-Employed,1
44285,38402,631,2,14.79,Business,4,Rented,Own,Unemployed,1
57626,31345,692,1,10.51,Home Improvement,0,Rented,Mortgage,Salaried,1
62808,49764,680,4,13.05,Home Improvement,0,Mortgaged,Own,Salaried,0
108464,31946,391,0,7.7,Business,2,Owned,Own,Retired,1
73871,19162,746,1,6.92,Medical,1,Mortgaged,Own,Retired,1
39198,13397,408,0,9.41,Medical,3,Mortgaged,Mortgage,Retired,0
39758,27335,616,3,7.94,Home Improvement,3,Rented,Own,Unemployed,0
35254,19394,467,3,11.44,Medical,4,Rented,Rent,Unemployed,0
64238,32197,734,1,5.82,Business,3,Rented,Own,Self-Employed,0
21252,27010,741,2,8.12,Medical,3,Mortgaged,Mortgage,Salaried,0
59764,29123,517,4,13.69,Home Improvement,0,Rented,Mortgage,Unemployed,0
97709,27387,521,3,11.95,Medical,0,Rented,Rent,Self-Employed,0
57441,7890,827,2,4.6,Personal,0,Owned,Rent,Self-Employed,0
112234,32769,577,4,13.59,Business,3,Owned,Mortgage,Unemployed,0
73682,48626,765,3,9.86,Business,4,Rented,Mortgage,Salaried,0
79494,13026,329,4,10.99,Education,1,Owned,Mortgage,Unemployed,0
101317,8306,658,0,6.18,Medical,2,Mortgaged,Mortgage,Self-Employed,0
85215,38665,587,1,8.02,Business,4,Owned,Rent,Unemployed,0
98587,14277,385,3,12.59,Medical,0,Rented,Mortgage,Retired,0
125185,47239,533,3,6.63,Personal,4,Mortgaged,Rent,Self-Employed,0
26949,19683,612,0,4.56,Home Improvement,1,Mortgaged,Mortgage,Unemployed,1
127825,5670,664,3,7.23,Home Improvement,0,Owned,Rent,Unemployed,0
75393,28675,568,3,3.37,Education,1,Rented,Mortgage,Salaried,0
93553,22889,430,3,11.47,Education,2,Rented,Own,Salaried,1
26941,49535,650,3,4.35,Business,4,Owned,Mortgage,Retired,0
45934,18006,479,3,6.06,Business,2,Owned,Rent,Self-Employed,0
43386,31531,779,2,13.51,Business,3,Owned,Mortgage,Retired,0
145362,26639,462,3,9.26,Personal,4,Rented,Mortgage,Retired,0
81886,21633,395,0,6.52,Education,3,Owned,Own,Retired,0
95745,39660,809,3,9.35,Education,1,Owned,Mortgage,Salaried,0
103251,8439,664,4,5.23,Home Improvement,3,Owned,Own,Unemployed,0
114456,37172,652,4,2.81,Education,1,Rented,Mortgage,Retired,0
73413,40622,735,0,10.05,Education,2,Mortgaged,Own,Salaried,1
76800,16577,382,2,11.43,Personal,0,Rented,Own,Unemployed,1
117239,16763,524,0,13.5,Business,2,Rented,Own,Unemployed,0
62318,25176,711,2,12.15,Personal,3,Mortgaged,Mortgage,Self-Employed,1
139803,49386,417,1,14.08,Medical,1,Rented,Own,Salaried,0
90173,29255,781,4,14.82,Home Improvement,3,Mortgaged,Mortgage,Retired,0
90390,46003,491,4,11.81,Home Improvement,0,Mortgaged,Rent,Self-Employed,1
72329,24996,406,4,13.35,Home Improvement,4,Mortgaged,Mortgage,Unemployed,1
142418,40386,681,2,10.92,Business,4,Mortgaged,Mortgage,Retired,1
63088,26062,689,0,4.64,Business,4,Rented,Rent,Retired,1
136868,40931,543,2,4.77,Business,3,Mortgaged,Own,Unemployed,0
123196,40710,767,4,3.88,Home Improvement,4,Owned,Mortgage,Self-Employed,0
59811,39693,837,4,14.29,Home Improvement,1,Mortgaged,Mortgage,Self-Employed,0
134825,40740,509,4,10.91,Home Improvement,0,Mortgaged,Mortgage,Self-Employed,1
75479,16705,372,4,12.37,Medical,2,Rented,Own,Unemployed,0
105392,48408,608,1,6.64,Medical,1,Owned,Own,Salaried,0
107369,33047,485,4,8.26,Home Improvement,0,Mortgaged,Rent,Unemployed,0
137520,15966,552,2,3.0,Business,2,Owned,Mortgage,Unemployed,1
39963,22374,312,4,13.61,Business,4,Mortgaged,Rent,Retired,0
75123,16138,598,3,13.16,Medical,2,Rented,Own,Unemployed,0
145911,20935,375,1,12.31,Medical,3,Owned,Own,Unemployed,1
122468,5489,350,4,3.23,Home Improvement,3,Owned,Rent,Salaried,0
112705,49516,448,3,4.68,Home Improvement,4,Rented,Own,Unemployed,1
93477,27260,421,2,6.68,Business,4,Rented,Mortgage,Retired,0
34388,31069,510,1,5.79,Education,1,Rented,Own,Self-Employed,1
25569,24275,579,4,12.98,Business,1,Rented,Own,Retired,1
89836,41284,837,2,4.94,Business,3,Owned,Rent,Salaried,1
124573,44178,455,3,9.15,Home Improvement,0,Rented,Own,Retired,0
56586,37821,537,1,9.64,Education,1,Owned,Own,Self-Employed,0
147018,21999,675,4,7.81,Education,0,Mortgaged,Rent,Self-Employed,1
32015,43712,381,2,5.51,Home Improvement,3,Mortgaged,Mortgage,Unemployed,1
65002,45172,791,1,14.5,Personal,1,Rented,Rent,Retired,0
136594,38722,655,3,7.67,Home Improvement,0,Rented,Mortgage,Retired,0
26254,15625,572,4,11.59,Medical,0,Owned,Mortgage,Retired,1
37144,6629,343,1,4.8,Education,1,Owned,Rent,Salaried,0
44214,15973,422,3,12.79,Home Improvement,4,Mortgaged,Rent,Unemployed,1
125654,11859,648,3,5.2,Business,2,Owned,Rent,Salaried,0
100719,46609,629,2,10.94,Business,4,Rented,Own,Salaried,0
91774,48307,708,3,8.83,Business,2,Mortgaged,Mortgage,Self-Employed,1
26090,41046,622,3,4.33,Home Improvement,0,Mortgaged,Mortgage,Salaried,0
31637,26839,410,0,2.81,Personal,1,Rented,Mortgage,Self-Employed,0
42415,32216,388,3,14.13,Medical,3,Owned,Rent,Retired,1
44071,23945,732,4,4.07,Business,1,Rented,Mortgage,Unemployed,0
78243,11539,398,1,11.31,Home Improvement,4,Owned,Mortgage,Self-Employed,0
130951,38625,838,4,10.66,Personal,2,Mortgaged,Mortgage,Self-Employed,0
145827,9886,445,4,6.77,Education,1,Rented,Mortgage,Salaried,0
128215,12485,556,2,4.82,Education,2,Mortgaged,Rent,Retired,1
61240,36455,488,0,4.73,Medical,4,Mortgaged,Own,Salaried,0
146146,21767,539,0,9.82,Home Improvement,4,Rented,Own,Self-Employed,1
103807,33453,802,4,9.34,Home Improvement,1,Mortgaged,Rent,Unemployed,0
121570,15744,570,1,13.45,Business,3,Owned,Own,Retired,0
53434,42102,819,0,10.5,Personal,3,Rented,Mortgage,Retired,0
89724,17226,849,0,12.74,Medical,2,Owned,Own,Self-Employed,0
135359,32869,413,4,2.91,Personal,1,Owned,Own,Unemployed,1
95697,27588,638,0,10.89,Medical,0,Owned,Mortgage,Unemployed,0
48732,18440,658,2,5.42,Home Improvement,4,Rented,Mortgage,Salaried,0
141465,36709,633,4,5.66,Home Improvement,2,Owned,Mortgage,Unemployed,0
31314,27495,468,0,11.51,Medical,4,Rented,Rent,Self-Employed,0
43954,42019,638,0,12.42,Personal,2,Owned,Own,Salaried,0
77108,49948,560,0,7.15,Education,1,Rented,Rent,Retired,0
107044,5922,498,4,12.38,Education,2,Owned,Rent,Salaried,0
107505,32526,510,1,8.05,Business,2,Mortgaged,Mortgage,Salaried,0
131195,12957,586,3,13.22,Business,0,Owned,Own,Unemployed,0
123081,38998,771,0,2.81,Personal,2,Mortgaged,Rent,Self-Employed,1
56668,48395,781,3,3.54,Home Improvement,3,Mortgaged,Mortgage,Retired,0
43061,29031,322,3,12.2,Personal,2,Owned,Rent,Self-Employed,0
99252,15006,408,0,10.3,Medical,2,Owned,Own,Salaried,0
59749,42701,595,0,9.49,Education,1,Mortgaged,Mortgage,Unemployed,0
149668,30939,305,3,10.17,Business,2,Rented,Rent,Self-Employed,0
124680,25324,849,1,14.13,Personal,0,Owned,Own,Retired,0
36907,27867,502,3,10.69,Personal,1,Mortgaged,Own,Unemployed,1
38777,5203,624,1,10.59,Medical,4,Rented,Rent,Retired,0
113229,21544,543,2,11.99,Home Improvement,3,Owned,Own,Retired,1
71745,20899,626,1,13.33,Home Improvement,3,Rented,Mortgage,Salaried,0
128464,34063,346,4,5.77,Education,4,Mortgaged,Mortgage,Self-Employed,0
148077,30344,312,0,10.21,Business,2,Owned,Mortgage,Self-Employed,1
111865,8748,679,2,9.8,Home Improvement,0,Rented,Mortgage,Retired,0
132428,44486,664,3,4.19,Home Improvement,0,Owned,Rent,Unemployed,0
101818,6093,641,1,9.0,Home Improvement,0,Rented,Rent,Unemployed,0
43624,20228,520,2,3.37,Personal,0,Rented,Own,Salaried,1
43321,25884,372,4,4.81,Home Improvement,2,Owned,Own,Salaried,0
30488,30183,345,1,13.91,Medical,4,Owned,Own,Self-Employed,1
42574,21034,803,3,3.99,Education,4,Owned,Mortgage,Retired,0
25240,10710,573,3,9.74,Home Improvement,3,Mortgaged,Rent,Self-Employed,0
63221,47500,507,1,6.54,Business,4,Owned,Rent,Salaried,0
30478,24259,423,4,9.44,Personal,0,Rented,Own,Self-Employed,0
148055,40959,309,0,5.44,Medical,2,Owned,Rent,Retired,0
75645,38457,628,0,8.05,Education,1,Mortgaged,Rent,Self-Employed,0
130698,25143,486,3,13.34,Personal,1,Mortgaged,Own,Retired,0
39262,7103,842,4,7.2,Medical,0,Owned,Rent,Unemployed,0
138831,5365,359,3,6.91,Personal,3,Rented,Mortgage,Self-Employed,0
72796,49535,741,0,8.08,Education,1,Mortgaged,Rent,Unemployed,0
24432,21103,516,3,3.76,Education,0,Rented,Mortgage,Salaried,0
115257,37510,301,1,7.34,Home Improvement,2,Mortgaged,Mortgage,Salaried,0
84291,29476,835,1,2.59,Business,1,Mortgaged,Own,Retired,1
99104,17742,655,4,8.79,Home Improvement,0,Rented,Own,Salaried,0
79399,17391,464,0,13.1,Personal,1,Rented,Own,Unemployed,0
147600,41940,390,4,9.4,Home Improvement,2,Mortgaged,Rent,Retired,0
